DATE,DM_EQ,EM_EQ,NB,CASH,EILB,PE,RE,GLOBAL_BONDS,GLOBAL_EQ
2006-06-30,0.003838,0.003713,-0.003373,0.008913,-0.005983,0.000695,0.012315,-0.003313,0.004588
2006-07-31,0.005606,0.015103,0.008699,0.003683,0.031731,-0.008316,-0.000416,0.009603,0.005844
2006-08-31,0.031345,0.029778,0.013593,0.007984,0.040657,0.033768,0.01034,0.014914,0.029618
2006-09-30,0.020169,0.015398,0.006071,0.011816,-0.013843,0.02877,0.010052,0.00723,0.020422
2006-10-31,0.034872,0.046454,0.006704,0.001985,0.019819,0.038091,0.036022,0.00747,0.035543
2006-11-30,0.006617,0.058175,0.008162,0.000657,0.020696,0.03316,0.014235,0.008609,0.012433
2006-12-31,0.028344,0.050523,-0.009627,0.009172,-0.042394,0.028481,0.005551,-0.006146,0.029967
2007-01-31,0.022204,0.010428,-0.00113,0.006402,-0.011241,0.023735,0.010007,0.000439,0.020075
2007-02-28,-0.017657,-0.017729,0.008856,-0.008873,0.028716,0.000757,0.001458,0.007938,-0.018274
2007-03-31,0.012019,0.031212,-0.00651,-0.002857,-0.013422,0.016841,0.004507,-0.004494,0.013527
2007-04-30,0.037449,0.040079,0.00039,-0.003052,0.021606,0.038344,0.024794,0.003996,0.036729
2007-05-31,0.037395,0.059166,-0.010745,0.009428,-0.034798,0.056342,0.011758,-0.008922,0.037887
2007-06-30,-0.006538,0.045493,-0.003733,0.005681,7.8e-05,0.004304,0.010627,-0.002634,-0.000351
2007-07-31,-0.036716,0.035321,0.012312,-0.011597,0.040175,-0.015942,0.004598,0.004512,-0.029469
2007-08-31,-0.007886,-0.028894,0.009736,-0.001692,0.001506,-0.020268,0.002557,0.005012,-0.010242
2007-09-30,0.029775,0.090535,-0.000163,-0.013582,0.029186,0.032715,-0.002299,0.004654,0.036311
2007-10-31,0.023819,0.101944,0.005516,-0.004378,0.031631,0.03905,-0.022847,0.008722,0.032158
2007-11-30,-0.060291,-0.092536,0.007752,-0.017197,0.027179,-0.085172,-0.038528,-0.003163,-0.064855
2007-12-31,-0.011166,0.003789,-0.00415,0.00177,-0.013156,-0.005723,0.003456,-0.002916,-0.00891
2008-01-31,-0.094907,-0.146732,0.015861,-0.010497,0.035465,-0.108731,0.01042,0.008133,-0.098032
2008-02-29,-0.019936,0.057011,0.005867,-0.004712,0.011594,0.005089,0.028978,0.001383,-0.012335
2008-03-31,-0.039831,-0.08555,-0.003367,-0.01432,-0.015405,-0.050722,-0.005499,-0.011359,-0.044667
2008-04-30,0.072792,0.1,-0.014936,0.014123,-0.021469,0.072829,0.016386,-0.001878,0.075306
2008-05-31,0.014175,0.017183,-0.016866,-0.001404,-0.002096,0.019752,-0.014371,-0.013638,0.014152
2008-06-30,-0.086233,-0.110243,-0.003447,-0.004127,0.022961,-0.102668,-0.061104,-0.008395,-0.088617
2008-07-31,-0.018338,-0.028164,0.006536,0.001684,-0.003855,-0.032682,-0.045155,0.006573,-0.019931
